time,Efield
-9.211678007736415e-11,242177.6283227065
-9.508851681395955e-11,239419.74553818384
-8.201287517293978e-11,298990.01368387346
-8.518272769197488e-11,284363.0205452199
-8.617330660417314e-11,279868.69304451626
-8.617330660417314e-11,276191.5159984861
-8.617330660417314e-11,272514.33895245584
-8.617330660417314e-11,268837.1619064256
-8.617330660417314e-11,265466.4162808979
-8.914504334076875e-11,262708.53349637525
-8.022983313098234e-11,319091.9148688386
-8.022983313098234e-11,315414.7378228084
-8.022983313098234e-11,311737.5607767782
-8.022983313098234e-11,308060.38373074797
-8.022983313098234e-11,304383.20668471773
-8.320156986757774e-11,293351.6755466271
-8.320156986757774e-11,289674.49850059685
-7.131462292119613e-11,356476.5481701459
-7.428635965779153e-11,352186.5082831106
-7.428635965779153e-11,348509.3312370804
-7.428635965779153e-11,344832.15419105015
-7.428635965779153e-11,341154.97714502
-7.428635965779153e-11,337477.80009898974
-7.428635965779153e-11,333800.6230529595
-7.428635965779153e-11,330429.8774274318
-7.725809639438693e-11,326446.2689608991
-7.725809639438693e-11,322769.09191486886
-6.834288618460073e-11,388958.2787434128
-6.834288618460073e-11,385281.10169738263
-6.834288618460073e-11,381603.9246513524
-6.834288618460073e-11,377926.74760532216
-6.834288618460073e-11,374249.5705592919
-6.834288618460073e-11,370572.39351326175
-6.735230727240226e-11,366078.0660125581
-7.131462292119613e-11,363218.0394212013
-7.131462292119613e-11,359540.86237517104
-6.140883379921145e-11,422461.4473850215
-6.239941271140992e-11,417762.83227064955
-6.239941271140992e-11,414085.6552246193
-6.239941271140992e-11,410408.47817858914
-6.239941271140992e-11,406731.3011325589
-6.239941271140992e-11,403054.12408652867
-6.239941271140992e-11,399989.80988150346
-6.537114944800532e-11,396312.6328354733
-6.537114944800532e-11,392635.45578944305
-5.546536032602065e-11,457190.3417086402
-5.645593923821912e-11,452696.01420793665
-5.645593923821912e-11,449018.8371619064
-5.645593923821912e-11,445341.66011587624
-5.645593923821912e-11,441664.483069846
-5.645593923821912e-11,437987.30602381576
-5.645593923821912e-11,434616.5603982881
-5.942767597481452e-11,431858.6776137654
-5.942767597481452e-11,428181.5005677352
-4.9521886852829846e-11,476801.9526208014
-5.0512465765028106e-11,472307.62512009783
-5.0512465765028106e-11,468630.4480740676
-5.0512465765028106e-11,465259.7024485399
-5.3484202501623715e-11,462501.81966401724
-4.15972555552419e-11,502797.5514600984
-4.45689922918373e-11,496822.1387602993
-4.45689922918373e-11,493144.96171426907
-4.45689922918373e-11,489467.78466823883
-4.45689922918373e-11,485790.60762220866
-4.7540729028432704e-11,482113.4305761784
-3.86255188186465e-11,522562.37808251084
-3.86255188186465e-11,518885.2010364806
-3.86255188186465e-11,515208.0239904504
-3.86255188186465e-11,511530.8469444202
-3.86255188186465e-11,507853.66989838996
-3.1691466433257225e-11,545034.0155860288
-3.268204534545569e-11,540335.4004716569
-3.268204534545569e-11,536658.2234256268
-3.268204534545569e-11,532981.0463795965
-3.5653782082051095e-11,529916.7321745713
-3.5653782082051095e-11,526239.5551285411
-2.673857187226489e-11,558108.422860803
-2.673857187226489e-11,554431.2458147728
-2.673857187226489e-11,551060.5001892451
-2.0795098399074084e-11,572817.1310449239
-2.0795098399074084e-11,569139.9539988936
-2.0795098399074084e-11,565462.7769528634
-2.3766835135669486e-11,561785.5999068331
-1.3861046013684812e-11,587117.264001708
-1.4851624925883073e-11,582622.9365010045
-1.4851624925883073e-11,579558.6222959793
-1.7823361662478475e-11,576494.3080909541
-7.917572540493801e-12,596514.494230452
-8.908151452692268e-12,592122.3105365825
7.058757093938352e-15,601825.972185829
5.950532230284743e-12,598761.6579808037
9.912847879078612e-12,594063.0428664318
1.5856321352269417e-11,588342.9896837182
1.3875163527872689e-11,583440.0869556778
2.080921591326196e-11,578332.8966139692
1.9818637001063493e-11,574042.856726934
2.6752689386452765e-11,569139.9539988936
2.6752689386452765e-11,565462.7769528634
2.6752689386452765e-11,561785.5999068331
2.3780952649857363e-11,559947.0113838181
2.972442612304817e-11,556882.6971787929
3.269616285964357e-11,552592.6572917576
3.269616285964357e-11,548915.4802457275
3.269616285964357e-11,545238.3031996972
3.269616285964357e-11,541561.126153667
3.269616285964357e-11,537883.9491076368
3.566789959623897e-11,533593.9092206015
3.8639636332834374e-11,529303.8693335663
3.8639636332834374e-11,525626.692287536
3.8639636332834374e-11,521949.5152415058
3.8639636332834374e-11,518272.3381954756
3.8639636332834374e-11,514595.16114944534
3.8639636332834374e-11,510917.98410341516
4.1611373069429776e-11,499273.5901243194
4.1611373069429776e-11,506627.9442163799
4.1611373069429776e-11,502950.76717034966
4.458310980602518e-11,495596.41307828925
4.458310980602518e-11,491919.236032259
4.458310980602518e-11,488242.0589862288
4.359253089382692e-11,483747.7314855252
4.755484654262058e-11,480887.7048941683
4.755484654262058e-11,477210.5278481381
5.052658327921598e-11,473533.3508021079
5.052658327921598e-11,469856.17375607765
5.052658327921598e-11,466178.9967100475
4.953600436701772e-11,461684.66920934385
5.349832001581159e-11,458824.642617987
5.349832001581159e-11,455147.4655719568
5.6470056752406994e-11,451470.2885259266
5.6470056752406994e-11,447793.11147989635
5.6470056752406994e-11,444115.9344338662
5.6470056752406994e-11,440438.7573878359
5.7955925120704695e-11,435842.28608029813
5.94417934890024e-11,433084.40329577547
6.24135302255978e-11,428794.3634087402
6.24135302255978e-11,425117.18636270997
6.24135302255978e-11,421440.0093166798
6.24135302255978e-11,417762.83227064955
6.24135302255978e-11,414085.6552246193
6.24135302255978e-11,410408.47817858914
6.24135302255978e-11,406731.3011325589
6.53852669621932e-11,402441.26124552364
6.53852669621932e-11,398764.0841994934
6.83570036987886e-11,393861.1814714531
6.83570036987886e-11,390184.00442542287
6.83570036987886e-11,386506.8273793927
6.83570036987886e-11,382829.65033336246
6.83570036987886e-11,379152.4732873322
6.83570036987886e-11,375475.29624130204
6.736642478659014e-11,371389.5439679351
7.1328740435384e-11,366895.2164672315
7.1328740435384e-11,363218.0394212013
7.430047717197941e-11,358927.999534166
7.430047717197941e-11,355250.8224881358
7.430047717197941e-11,351573.6454421056
7.430047717197941e-11,347896.46839607536
7.430047717197941e-11,344219.2913500451
7.430047717197941e-11,340542.11430401495
7.430047717197941e-11,336864.9372579847
7.727221390857481e-11,332574.89737094945
7.430047717197941e-11,329817.0145864268
8.024395064517021e-11,323994.8175968789
8.024395064517021e-11,320317.6405508487
8.024395064517021e-11,316640.4635048185
8.024395064517021e-11,312963.28645878827
8.024395064517021e-11,309286.109412758
8.024395064517021e-11,305608.93236672785
8.024395064517021e-11,301931.7553206976
7.727221390857481e-11,300093.16679768247
8.321568738176561e-11,297028.8525926573
8.321568738176561e-11,293351.6755466271
8.618742411836122e-11,288448.7728185868
8.618742411836122e-11,284771.59577255655
8.618742411836122e-11,281094.4187265264
8.618742411836122e-11,277417.24168049614
8.618742411836122e-11,273740.0646344659
8.618742411836122e-11,270062.88758843567
8.915916085495663e-11,265159.9848603954
9.213089759155203e-11,261482.8078143652
9.213089759155203e-11,257805.63076833496
9.213089759155203e-11,254128.45372230472
9.114031867935335e-11,249634.1262216011
9.510263432814743e-11,246774.0996302443
9.807437106474283e-11,241871.196902204
9.807437106474283e-11,238194.01985617378
9.807437106474283e-11,234516.84281014354
9.807437106474283e-11,230839.6657641133
9.807437106474283e-11,227162.48871808313
9.708379215254416e-11,223076.73644471623
1.0104610780133823e-10,218582.4089440126
1.0401784453793364e-10,213679.5062159723
1.0401784453793364e-10,210002.32916994207
1.0401784453793364e-10,206325.1521239119
1.0401784453793364e-10,202647.97507788165
1.0401784453793364e-10,198970.79803185142
1.0401784453793364e-10,195293.62098582118
1.0401784453793364e-10,191616.443939791
1.0698958127452904e-10,185181.3841092381
1.1095189692332312e-10,179767.7623470269
1.0996131801112444e-10,175069.14723265497
1.0996131801112444e-10,171391.9701866248
1.0996131801112444e-10,167714.79314059456
1.0996131801112444e-10,164037.61609456432
1.1293305474771984e-10,159747.57620752905
1.1590479148431525e-10,154844.67347948876
1.1590479148431525e-10,151167.49643345858
1.1590479148431525e-10,147490.31938742835
1.1590479148431525e-10,143813.1423413981
1.1293305474771984e-10,141974.55381838302
1.1887652822091065e-10,138910.23961335781
1.2184826495750626e-10,135233.06256732764
